AL	439	270	Alabama
AK	94	325	Alaska
AZ	148	241	Arizona
AR	368	247	Arkansas
CA	56	176	California
CO	220	183	Colorado
CT	576	120	Connecticut
DE	556	166	Delaware
FL	510	331	Florida
GA	478	267	Georgia
HI	232	380	Hawaii
ID	143	101	Idaho
IL	405	168	Illinois
IN	437	165	Indiana
IA	357	147	Iowa
KS	302	194	Kansas
KY	453	203	Kentucky
LA	371	302	Lousiana
ME	595	59	Maine
MD	538	162	Maryland
MA	581	108	Massachusetts
MI	446	120	Michigan
MN	339	86	Minnesota
MS	406	274	Mississippi
MO	365	197	Missouri
MT	194	61	Montana
NE	286	151	Nebraska
NV	102	157	Nevada
NH	580	89	New Hampshire
NJ	561	143	New Jersey
NM	208	245	New Mexico
NY	541	107	New York
NC	519	221	North Carolina
ND	283	65	North Dakota
OH	472	160	Ohio
OK	309	239	Oklahoma
OR	74	86	Oregon
PA	523	144	Pennsylvania
RI	589	117	Rhode Island
SC	506	251	South Carolina
SD	286	109	South Dakota
TN	441	229	Tennessee
TX	291	299	Texas
UT	154	171	Utah
VT	567	86	Vermont
VA	529	189	Virginia
WA	92	38	Washington
WV	496	178	West Virginia
WI	392	103	Wisconsin
WY	207	125	Wyoming
