State	Area name	LT_HS_2016	HS_2016	SomeCollege_2016	GTE_BA_2016
AL	Alabama	15.209	30.956	29.825	24.01
AK	Alaska	7.655	27.727	35.826	28.792
AZ	Arizona	13.765	24.284	33.995	27.956
AR	Arkansas	14.807	34.652	29.035	21.506
CA	California	17.895	20.587	29.522	31.996
CO	Colorado	9.016	21.726	30.551	38.707
CT	Connecticut	9.851	27.299	24.802	38.048
DE	Delaware	11.194	31.121	27.209	30.475
FL	Florida	12.824	29.169	30.123	27.883
GA	Georgia	14.156	28.084	28.348	29.412
HI	Hawaii	8.731	27.811	32.09	31.369
ID	Idaho	10.039	27.595	36.117	26.249
IL	Illinois	11.703	26.538	28.865	32.894
IN	Indiana	11.924	34.243	29.221	24.611
IA	Iowa	8.255	31.896	32.677	27.172
KS	Kansas	9.691	26.611	32.087	31.61
KY	Kentucky	15.359	33.343	28.599	22.699
LA	Lousiana	16.184	33.875	26.983	22.958
ME	Maine	8.077	33.161	29.446	29.316
MD	Maryland	10.382	25.423	25.782	38.412
MA	Massachusetts	9.944	25.099	23.736	41.222
MI	Michigan	10.122	29.608	32.859	27.41
MN	Minnesota	7.376	25.677	32.707	34.241
MS	Mississippi	17.042	30.437	31.498	21.023
MO	Missouri	11.167	31.124	30.074	27.635
MT	Montana	7.105	29.771	33.189	29.934
NE	Nebraska	9.315	27.029	33.671	29.985
NV	Nevada	14.58	28.317	33.923	23.181
NH	New Hampshire	7.43	28.356	28.747	35.467
NJ	New Jersey	11.102	28.237	23.196	37.465
NM	New Mexico	15.372	26.394	31.578	26.656
NY	New York	14.076	26.432	24.75	34.741
NC	North Carolina	13.685	26.415	30.871	29.028
ND	North Dakota	7.963	27.446	36.418	28.173
OH	Ohio	10.514	33.819	28.999	26.667
OK	Oklahoma	12.741	31.63	31.16	24.469
OR	Oregon	10.033	23.86	34.669	31.438
PA	Pennsylvania	10.46	35.97	24.237	29.333
RI	Rhode Island	13.048	27.687	26.807	32.458
SC	South Carolina	13.95	29.455	30.136	26.459
SD	South Dakota	8.814	30.835	32.901	27.45
TN	Tennessee	14.016	32.787	27.845	25.352
TX	Texas	17.652	25.087	29.162	28.099
UT	Utah	8.474	23.05	36.801	31.675
VT	Vermont	8.104	29.877	25.837	36.182
VA	Virginia	11.362	24.516	27.232	36.891
WA	Washington	9.419	22.921	34.104	33.557
WV	West Virginia	14.659	40.472	25.309	19.559
WI	Wisconsin	8.637	31.692	31.297	28.373
WY	Wyoming	7.609	29.177	37.205	26.01
